road_id,name,nh_number,segment_start_km,segment_end_km,jurisdiction,category,length_km,lane_count,surface_type,year_constructed,last_major_rehab_year,status,geometry,notes,state,district,taluka,region_type,terrain_type,slope_category,monsoon_rainfall_category,landslide_prone,flood_prone,ghat_section_flag,tourism_route_flag,elevation_m,avg_daily_traffic,truck_percentage,peak_hour_traffic,traffic_weight,seasonal_variation
MA-SH60-SEG-0125,SH60 Segment 125,SH60,31.3,44.3,PMGSY,Inter-State,13,4,bitumen,2010,2022,under_construction,LINESTRING(...),,Maharashtra,Satara,Patan,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,970,6470,20.7,691,1,"{""M1"":1.02,""M2"":0.8,""M3"":1.16,""M4"":0.97,""M5"":1.18,""M6"":1.05,""M7"":0.94,""M8"":0.87,""M9"":0.84,""M10"":1.08,""M11"":0.94,""M12"":1.05}"
MA-NH65-SEG-0126,NH65 Segment 126,NH65,85.2,98.1,PMGSY,National,12.9,4,earthen,2002,,under_construction,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,31.9,7431,10.5,810,1,"{""M1"":0.99,""M2"":1.01,""M3"":1.08,""M4"":0.9,""M5"":0.97,""M6"":1.1,""M7"":0.91,""M8"":0.95,""M9"":1.1,""M10"":0.8,""M11"":0.97,""M12"":0.88}"
MA-NH48-SEG-0127,NH48 Segment 127,NH48,111.3,121.3,PMGSY,National,10,2,gravel,2011,,active,LINESTRING(...),,Maharashtra,Satara,Patan,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,1169.2,7449,36.1,775,1,"{""M1"":0.83,""M2"":0.82,""M3"":0.96,""M4"":1.1,""M5"":1.15,""M6"":1.16,""M7"":1.05,""M8"":1.01,""M9"":0.82,""M10"":0.93,""M11"":0.99,""M12"":0.81}"
MA-SH60-SEG-0128,SH60 Segment 128,SH60,100.3,112.2,Municipality,State,11.9,2,earthen,2008,2018,active,LINESTRING(...),,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,483,3766,19.7,308,0.5,"{""M1"":0.98,""M2"":0.87,""M3"":1.07,""M4"":1.14,""M5"":0.96,""M6"":0.83,""M7"":1.04,""M8"":1.0,""M9"":1.13,""M10"":1.01,""M11"":1.0,""M12"":1.08}"
MA-NH48-SEG-0129,NH48 Segment 129,NH48,165.7,185.5,Municipality,Urban,19.8,4,gravel,1998,2009,active,LINESTRING(...),,Maharashtra,Raigad,Shrivardhan,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,107,6467,36.6,408,1,"{""M1"":1.08,""M2"":0.95,""M3"":0.95,""M4"":1.05,""M5"":0.98,""M6"":1.09,""M7"":1.0,""M8"":0.81,""M9"":0.93,""M10"":1.09,""M11"":1.03,""M12"":1.09}"
MA-NH60-SEG-0130,NH60 Segment 130,NH60,73.7,92.2,Municipality,Urban,18.5,2,earthen,2021,2010,under_construction,LINESTRING(...),,Maharashtra,Nashik,Trimbak,ghat,steep,steep,medium,TRUE,FALSE,TRUE,FALSE,986.1,4555,38.3,476,0.5,"{""M1"":0.92,""M2"":1.19,""M3"":1.1,""M4"":0.89,""M5"":1.03,""M6"":0.92,""M7"":0.99,""M8"":0.81,""M9"":1.02,""M10"":0.97,""M11"":0.82,""M12"":1.07}"
MA-NH60-SEG-0131,NH60 Segment 131,NH60,67.8,78.8,PMGSY,Urban,11,6,gravel,2018,2010,active,LINESTRING(...),,Maharashtra,Satara,Karad,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,828.1,9867,17,680,1,"{""M1"":1.0,""M2"":0.92,""M3"":1.16,""M4"":1.11,""M5"":1.06,""M6"":0.84,""M7"":1.1,""M8"":1.16,""M9"":1.08,""M10"":1.09,""M11"":0.83,""M12"":1.09}"
MA-SH50-SEG-0132,SH50 Segment 132,SH50,168.4,189.6,PMGSY,State,21.2,2,bitumen,2018,2023,under_construction,LINESTRING(...),,Maharashtra,Raigad,Alibag,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,446.9,13780,25.7,1400,1.5,"{""M1"":0.84,""M2"":0.89,""M3"":1.09,""M4"":1.02,""M5"":1.11,""M6"":0.92,""M7"":0.89,""M8"":0.91,""M9"":0.89,""M10"":1.11,""M11"":1.17,""M12"":1.11}"
MA-NH65-SEG-0133,NH65 Segment 133,NH65,41.8,63.7,Municipality,State,21.9,4,gravel,2011,,active,LINESTRING(...),,Maharashtra,Sindhudurg,Kankavli,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,82,12255,27.4,1048,1.5,"{""M1"":0.85,""M2"":1.05,""M3"":1.06,""M4"":1.13,""M5"":1.13,""M6"":1.11,""M7"":1.14,""M8"":0.95,""M9"":1.07,""M10"":1.07,""M11"":0.92,""M12"":0.98}"
MA-SH60-SEG-0134,SH60 Segment 134,SH60,23.9,37.5,NHAI,Urban,13.6,6,bitumen,2014,2016,active,LINESTRING(...),,Maharashtra,Nashik,Sinnar,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,654,4436,14.5,266,0.5,"{""M1"":0.85,""M2"":0.9,""M3"":1.17,""M4"":0.96,""M5"":1.12,""M6"":1.05,""M7"":1.16,""M8"":0.81,""M9"":1.03,""M10"":1.14,""M11"":1.08,""M12"":0.83}"
MA-NH48-SEG-0135,NH48 Segment 135,NH48,37,55.5,Municipality,State,18.5,4,concrete,2014,2020,under_construction,LINESTRING(...),,Maharashtra,Satara,Karad,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,709,8944,22.4,663,1,"{""M1"":1.07,""M2"":1.11,""M3"":1.14,""M4"":0.87,""M5"":0.97,""M6"":1.14,""M7"":1.0,""M8"":0.86,""M9"":0.93,""M10"":0.95,""M11"":0.98,""M12"":0.99}"
MA-NH60-SEG-0136,NH60 Segment 136,NH60,168,190,PMGSY,Inter-State,22,6,gravel,2000,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Dhule,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,255.6,7573,12.8,907,1,"{""M1"":0.83,""M2"":1.06,""M3"":0.86,""M4"":1.09,""M5"":1.0,""M6"":1.0,""M7"":0.86,""M8"":1.18,""M9"":0.88,""M10"":1.05,""M11"":1.11,""M12"":1.05}"
MA-NH60-SEG-0137,NH60 Segment 137,NH60,158.8,166.2,State PWD,State,7.4,2,bitumen,2005,2020,under_construction,LINESTRING(...),,Maharashtra,Kolhapur,Radhanagari,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,764.3,6989,38.2,443,1,"{""M1"":0.99,""M2"":1.12,""M3"":0.99,""M4"":0.92,""M5"":0.94,""M6"":1.05,""M7"":0.89,""M8"":0.89,""M9"":0.86,""M10"":0.93,""M11"":1.12,""M12"":1.16}"
MA-SH60-SEG-0138,SH60 Segment 138,SH60,159.6,166.2,NHAI,National,6.6,2,concrete,2019,,under_construction,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,470.7,9506,44.2,988,1,"{""M1"":0.97,""M2"":1.02,""M3"":0.95,""M4"":1.12,""M5"":1.19,""M6"":0.96,""M7"":1.08,""M8"":1.04,""M9"":1.12,""M10"":1.13,""M11"":0.95,""M12"":1.12}"
MA-NH48-SEG-0139,NH48 Segment 139,NH48,163.3,180.5,PMGSY,State,17.2,4,earthen,2014,,active,LINESTRING(...),,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,563.8,4844,38.6,569,0.5,"{""M1"":0.95,""M2"":0.96,""M3"":1.11,""M4"":1.04,""M5"":1.18,""M6"":1.18,""M7"":0.97,""M8"":0.98,""M9"":0.91,""M10"":1.1,""M11"":0.91,""M12"":0.89}"
MA-NH60-SEG-0140,NH60 Segment 140,NH60,116.6,141.5,State PWD,Inter-State,24.9,6,gravel,2011,,under_construction,LINESTRING(...),,Maharashtra,Kolhapur,Panhala,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,863.1,5559,28.4,515,1,"{""M1"":0.98,""M2"":0.96,""M3"":0.97,""M4"":1.1,""M5"":0.89,""M6"":0.88,""M7"":1.07,""M8"":0.93,""M9"":1.15,""M10"":0.96,""M11"":1.03,""M12"":0.81}"
MA-NH60-SEG-0141,NH60 Segment 141,NH60,85.9,110.7,NHAI,Inter-State,24.8,2,bitumen,2019,2016,under_construction,LINESTRING(...),,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,298.4,22593,21,2649,2,"{""M1"":1.07,""M2"":0.85,""M3"":1.11,""M4"":0.97,""M5"":0.89,""M6"":0.93,""M7"":1.02,""M8"":0.86,""M9"":1.04,""M10"":0.93,""M11"":1.0,""M12"":1.09}"
MA-NH65-SEG-0142,NH65 Segment 142,NH65,45.3,58,Municipality,National,12.7,2,earthen,2006,2015,active,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,178.6,5226,38.1,512,1,"{""M1"":1.16,""M2"":1.05,""M3"":0.96,""M4"":0.99,""M5"":1.09,""M6"":1.09,""M7"":1.08,""M8"":1.0,""M9"":1.2,""M10"":1.18,""M11"":0.94,""M12"":1.05}"
MA-NH160-SEG-0143,NH160 Segment 143,NH160,87.9,111.5,State PWD,National,23.6,4,concrete,2015,,under_construction,LINESTRING(...),,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,262.8,7319,27.4,557,1,"{""M1"":1.15,""M2"":0.88,""M3"":0.83,""M4"":1.12,""M5"":0.91,""M6"":0.87,""M7"":1.04,""M8"":0.83,""M9"":1.06,""M10"":0.86,""M11"":1.0,""M12"":1.08}"
MA-SH60-SEG-0144,SH60 Segment 144,SH60,48.8,71.3,Municipality,Inter-State,22.5,4,earthen,2000,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,411.2,5188,39.8,617,1,"{""M1"":0.85,""M2"":0.8,""M3"":1.1,""M4"":1.07,""M5"":0.8,""M6"":0.87,""M7"":0.85,""M8"":1.18,""M9"":1.18,""M10"":0.9,""M11"":1.13,""M12"":1.09}"
MA-NH65-SEG-0145,NH65 Segment 145,NH65,17.4,34.6,PMGSY,National,17.2,6,concrete,2018,,active,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,197.4,7231,26.8,712,1,"{""M1"":1.12,""M2"":1.13,""M3"":0.91,""M4"":1.07,""M5"":1.14,""M6"":1.07,""M7"":0.83,""M8"":1.03,""M9"":1.01,""M10"":0.96,""M11"":0.86,""M12"":1.04}"
MA-NH48-SEG-0146,NH48 Segment 146,NH48,146.3,151.6,State PWD,National,5.3,2,earthen,2005,2014,active,LINESTRING(...),,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,545.9,7775,40.8,867,1,"{""M1"":1.11,""M2"":1.05,""M3"":0.95,""M4"":0.91,""M5"":1.19,""M6"":1.08,""M7"":1.2,""M8"":1.2,""M9"":0.93,""M10"":0.84,""M11"":0.86,""M12"":1.07}"
MA-NH160-SEG-0147,NH160 Segment 147,NH160,107.2,126.6,NHAI,Inter-State,19.4,6,concrete,2018,2018,active,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,127.1,8210,41.6,632,1,"{""M1"":1.2,""M2"":1.02,""M3"":0.87,""M4"":0.89,""M5"":1.15,""M6"":1.11,""M7"":1.11,""M8"":1.09,""M9"":0.97,""M10"":0.86,""M11"":1.19,""M12"":1.09}"
MA-NH48-SEG-0148,NH48 Segment 148,NH48,71.1,94.6,PMGSY,State,23.5,4,concrete,2020,,active,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,190.9,7729,24.7,513,1,"{""M1"":0.89,""M2"":1.12,""M3"":1.1,""M4"":1.17,""M5"":0.95,""M6"":1.19,""M7"":0.84,""M8"":0.94,""M9"":1.03,""M10"":1.04,""M11"":1.13,""M12"":1.09}"
MA-NH160-SEG-0149,NH160 Segment 149,NH160,107.1,122.7,NHAI,National,15.6,2,bitumen,2009,,active,LINESTRING(...),,Maharashtra,Nagpur,Umred,plain,plain,flat,medium,FALSE,FALSE,FALSE,TRUE,101,7582,37.8,730,1,"{""M1"":1.15,""M2"":1.15,""M3"":1.04,""M4"":0.89,""M5"":0.86,""M6"":1.08,""M7"":0.95,""M8"":1.09,""M9"":1.02,""M10"":1.08,""M11"":0.98,""M12"":0.81}"
MA-NH160-SEG-0150,NH160 Segment 150,NH160,27.4,48.8,NHAI,Inter-State,21.4,2,earthen,2002,2011,under_construction,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,818.7,7282,28.9,587,1,"{""M1"":1.17,""M2"":1.14,""M3"":1.04,""M4"":0.94,""M5"":1.19,""M6"":0.92,""M7"":1.15,""M8"":0.83,""M9"":1.0,""M10"":0.91,""M11"":0.91,""M12"":0.82}"
MA-NH160-SEG-0151,NH160 Segment 151,NH160,17.7,24.8,State PWD,Urban,7.1,2,concrete,2009,,under_construction,LINESTRING(...),,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,458.1,29389,41.1,3368,2,"{""M1"":1.13,""M2"":1.1,""M3"":0.82,""M4"":0.81,""M5"":1.04,""M6"":1.03,""M7"":0.91,""M8"":0.86,""M9"":0.92,""M10"":1.1,""M11"":1.11,""M12"":1.19}"
MA-NH60-SEG-0152,NH60 Segment 152,NH60,198.8,222.9,State PWD,National,24.1,6,bitumen,2018,,active,LINESTRING(...),,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,447.8,25966,10.5,3033,2,"{""M1"":0.98,""M2"":1.16,""M3"":1.01,""M4"":1.0,""M5"":1.15,""M6"":1.01,""M7"":0.88,""M8"":1.19,""M9"":0.97,""M10"":0.81,""M11"":1.14,""M12"":0.81}"
MA-NH160-SEG-0153,NH160 Segment 153,NH160,119.8,124.9,PMGSY,State,5.1,4,bitumen,2021,2013,active,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,319,4036,25,404,0.5,"{""M1"":1.01,""M2"":1.18,""M3"":0.87,""M4"":1.09,""M5"":1.11,""M6"":1.17,""M7"":1.08,""M8"":1.18,""M9"":0.95,""M10"":0.88,""M11"":0.98,""M12"":1.01}"
MA-NH65-SEG-0154,NH65 Segment 154,NH65,134,144.6,Municipality,Inter-State,10.6,4,bitumen,2015,2021,active,LINESTRING(...),,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,243.5,6505,44.6,435,1,"{""M1"":1.14,""M2"":0.94,""M3"":0.91,""M4"":0.81,""M5"":1.05,""M6"":1.2,""M7"":0.97,""M8"":1.19,""M9"":0.93,""M10"":1.2,""M11"":0.92,""M12"":0.89}"
MA-NH48-SEG-0155,NH48 Segment 155,NH48,171.2,180.5,NHAI,National,9.3,4,gravel,2021,2010,under_construction,LINESTRING(...),,Maharashtra,Satara,Karad,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,840.3,7735,15.5,592,1,"{""M1"":1.04,""M2"":1.19,""M3"":0.93,""M4"":1.14,""M5"":1.01,""M6"":0.81,""M7"":1.17,""M8"":0.88,""M9"":0.85,""M10"":1.11,""M11"":0.92,""M12"":0.91}"
MA-NH60-SEG-0156,NH60 Segment 156,NH60,17.8,31.7,NHAI,Urban,13.9,4,concrete,2011,,under_construction,LINESTRING(...),,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,387.5,25681,18.8,2285,2,"{""M1"":0.8,""M2"":1.04,""M3"":0.86,""M4"":0.96,""M5"":0.94,""M6"":0.91,""M7"":0.96,""M8"":1.1,""M9"":0.98,""M10"":1.02,""M11"":0.85,""M12"":0.88}"
MA-NH65-SEG-0157,NH65 Segment 157,NH65,0.1,21.8,Municipality,Inter-State,21.7,6,concrete,2011,,under_construction,LINESTRING(...),,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,180.7,15979,13.3,1721,1.5,"{""M1"":0.97,""M2"":1.03,""M3"":0.82,""M4"":1.01,""M5"":0.81,""M6"":0.89,""M7"":1.07,""M8"":1.19,""M9"":0.8,""M10"":0.89,""M11"":1.01,""M12"":1.14}"
MA-NH65-SEG-0158,NH65 Segment 158,NH65,157.4,180.4,State PWD,Urban,23,4,concrete,2017,2022,active,LINESTRING(...),,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,91.1,3292,33.3,204,0.5,"{""M1"":1.06,""M2"":0.84,""M3"":0.89,""M4"":0.81,""M5"":0.84,""M6"":0.99,""M7"":1.09,""M8"":1.13,""M9"":1.03,""M10"":1.18,""M11"":0.87,""M12"":1.2}"
MA-SH60-SEG-0159,SH60 Segment 159,SH60,39.3,45.7,Municipality,National,6.4,6,bitumen,2007,2014,under_construction,LINESTRING(...),,Maharashtra,Raigad,Mahad,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,421.5,13093,34.9,877,1.5,"{""M1"":1.14,""M2"":0.96,""M3"":1.09,""M4"":1.08,""M5"":1.11,""M6"":1.05,""M7"":1.07,""M8"":1.01,""M9"":0.9,""M10"":1.02,""M11"":0.98,""M12"":0.94}"
MA-NH60-SEG-0160,NH60 Segment 160,NH60,82.6,97.4,NHAI,Urban,14.8,2,concrete,2019,,under_construction,LINESTRING(...),,Maharashtra,Solapur,Pandharpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,438.1,5287,18.3,504,1,"{""M1"":1.13,""M2"":0.86,""M3"":0.93,""M4"":0.98,""M5"":1.11,""M6"":1.13,""M7"":1.16,""M8"":0.86,""M9"":0.84,""M10"":1.11,""M11"":1.1,""M12"":0.95}"
MA-SH50-SEG-0161,SH50 Segment 161,SH50,182.7,206.8,NHAI,Inter-State,24.1,6,concrete,2010,,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,1074.6,9500,22.1,590,1,"{""M1"":0.88,""M2"":1.01,""M3"":1.17,""M4"":0.96,""M5"":0.87,""M6"":1.13,""M7"":1.01,""M8"":1.08,""M9"":0.86,""M10"":0.81,""M11"":1.07,""M12"":0.85}"
MA-NH65-SEG-0162,NH65 Segment 162,NH65,118.3,123.5,PMGSY,Inter-State,5.2,6,gravel,2010,2011,active,LINESTRING(...),,Maharashtra,Satara,Patan,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,846.3,6384,23,488,1,"{""M1"":0.86,""M2"":0.8,""M3"":1.09,""M4"":0.85,""M5"":0.96,""M6"":0.87,""M7"":1.05,""M8"":1.08,""M9"":1.12,""M10"":1.01,""M11"":1.16,""M12"":0.84}"
MA-SH50-SEG-0163,SH50 Segment 163,SH50,192.9,206.2,State PWD,Inter-State,13.3,4,concrete,2008,2011,active,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,257.4,10505,19.8,1236,1.5,"{""M1"":1.08,""M2"":0.99,""M3"":1.01,""M4"":1.17,""M5"":1.09,""M6"":0.97,""M7"":0.95,""M8"":1.18,""M9"":0.82,""M10"":1.17,""M11"":1.01,""M12"":1.16}"
MA-SH60-SEG-0164,SH60 Segment 164,SH60,36.4,45.8,Municipality,Urban,9.4,4,bitumen,1998,2020,active,LINESTRING(...),,Maharashtra,Satara,Mahabaleshwar,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,607.6,7389,35.6,764,1,"{""M1"":0.96,""M2"":1.07,""M3"":0.81,""M4"":1.0,""M5"":1.11,""M6"":0.95,""M7"":0.88,""M8"":0.81,""M9"":0.96,""M10"":0.92,""M11"":1.14,""M12"":1.05}"
MA-NH60-SEG-0165,NH60 Segment 165,NH60,90,108.4,State PWD,Inter-State,18.4,6,earthen,1998,,active,LINESTRING(...),,Maharashtra,Raigad,Alibag,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,151.8,7719,15,737,1,"{""M1"":1.19,""M2"":1.05,""M3"":1.1,""M4"":0.91,""M5"":0.83,""M6"":0.89,""M7"":0.87,""M8"":1.07,""M9"":0.86,""M10"":0.93,""M11"":1.13,""M12"":0.84}"
MA-NH60-SEG-0166,NH60 Segment 166,NH60,77.4,84,State PWD,Urban,6.6,4,bitumen,2006,,active,LINESTRING(...),,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,520.2,4477,33.8,332,0.5,"{""M1"":1.02,""M2"":1.2,""M3"":0.93,""M4"":1.12,""M5"":1.15,""M6"":0.88,""M7"":1.16,""M8"":1.04,""M9"":0.86,""M10"":0.93,""M11"":0.92,""M12"":0.91}"
MA-NH65-SEG-0167,NH65 Segment 167,NH65,53.2,71.2,NHAI,Urban,18,4,gravel,2004,2019,active,LINESTRING(...),,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,394.1,27937,45,2394,2,"{""M1"":0.85,""M2"":0.94,""M3"":1.16,""M4"":1.19,""M5"":0.85,""M6"":0.9,""M7"":0.9,""M8"":0.92,""M9"":1.19,""M10"":1.19,""M11"":1.02,""M12"":1.03}"
MA-NH60-SEG-0168,NH60 Segment 168,NH60,194,214.3,State PWD,State,20.3,4,bitumen,2008,,active,LINESTRING(...),,Maharashtra,Nashik,Trimbak,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,874,10335,28.3,788,1.5,"{""M1"":0.85,""M2"":1.04,""M3"":1.03,""M4"":1.2,""M5"":1.02,""M6"":1.02,""M7"":0.96,""M8"":0.81,""M9"":1.07,""M10"":1.04,""M11"":0.87,""M12"":1.03}"
MA-NH48-SEG-0169,NH48 Segment 169,NH48,60.6,81.2,NHAI,Urban,20.6,2,concrete,2001,,active,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,553.3,2905,15.9,202,0.5,"{""M1"":0.86,""M2"":1.17,""M3"":0.88,""M4"":0.94,""M5"":0.91,""M6"":1.06,""M7"":0.93,""M8"":1.14,""M9"":1.09,""M10"":0.82,""M11"":0.81,""M12"":1.13}"
MA-NH160-SEG-0170,NH160 Segment 170,NH160,105.4,128.7,PMGSY,National,23.3,4,gravel,2019,2013,active,LINESTRING(...),,Maharashtra,Nashik,Sinnar,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,1044.3,9967,34.8,1120,1,"{""M1"":1.19,""M2"":1.12,""M3"":0.81,""M4"":1.12,""M5"":0.98,""M6"":1.11,""M7"":1.14,""M8"":0.95,""M9"":1.15,""M10"":0.93,""M11"":0.96,""M12"":1.16}"
MA-NH65-SEG-0171,NH65 Segment 171,NH65,124.3,139.9,PMGSY,Inter-State,15.6,4,gravel,2019,2022,under_construction,LINESTRING(...),,Maharashtra,Nashik,Sinnar,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,1047.3,11669,30.7,1134,1.5,"{""M1"":1.07,""M2"":0.96,""M3"":1.06,""M4"":0.92,""M5"":0.95,""M6"":1.13,""M7"":0.88,""M8"":0.96,""M9"":0.9,""M10"":0.82,""M11"":1.12,""M12"":0.98}"
MA-SH50-SEG-0172,SH50 Segment 172,SH50,90.3,104.9,Municipality,National,14.6,2,earthen,2020,,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,999.2,4841,19.6,469,0.5,"{""M1"":1.08,""M2"":0.88,""M3"":1.02,""M4"":0.85,""M5"":0.89,""M6"":0.81,""M7"":0.84,""M8"":1.16,""M9"":0.8,""M10"":0.84,""M11"":1.02,""M12"":1.02}"
MA-NH65-SEG-0173,NH65 Segment 173,NH65,85.9,94.8,Municipality,Inter-State,8.9,6,earthen,2004,2017,active,LINESTRING(...),,Maharashtra,Satara,Patan,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,886.1,7615,26.6,631,1,"{""M1"":1.03,""M2"":0.98,""M3"":1.15,""M4"":1.05,""M5"":0.95,""M6"":1.09,""M7"":0.99,""M8"":1.11,""M9"":1.15,""M10"":0.96,""M11"":0.89,""M12"":0.92}"
MA-NH65-SEG-0174,NH65 Segment 174,NH65,22.4,39.7,PMGSY,Urban,17.3,2,earthen,2010,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Dhule,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,593.8,5921,23.9,630,1,"{""M1"":1.02,""M2"":0.94,""M3"":1.16,""M4"":0.83,""M5"":0.81,""M6"":1.02,""M7"":1.11,""M8"":1.16,""M9"":0.88,""M10"":1.1,""M11"":1.02,""M12"":0.89}"
MA-SH50-SEG-0175,SH50 Segment 175,SH50,172.3,192.1,PMGSY,Inter-State,19.8,4,gravel,2005,,under_construction,LINESTRING(...),,Maharashtra,Satara,Karad,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,1182.3,4342,42.1,334,0.5,"{""M1"":0.88,""M2"":0.89,""M3"":1.18,""M4"":1.13,""M5"":0.97,""M6"":0.94,""M7"":1.08,""M8"":1.12,""M9"":0.84,""M10"":1.2,""M11"":0.97,""M12"":1.0}"
MA-NH60-SEG-0176,NH60 Segment 176,NH60,89.5,108.2,State PWD,Inter-State,18.7,6,concrete,2013,2017,under_construction,LINESTRING(...),,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,176.7,16789,39.4,1328,1.5,"{""M1"":1.1,""M2"":1.17,""M3"":1.07,""M4"":1.06,""M5"":1.15,""M6"":1.17,""M7"":1.12,""M8"":0.95,""M9"":0.91,""M10"":0.96,""M11"":0.9,""M12"":1.05}"
MA-NH48-SEG-0177,NH48 Segment 177,NH48,181.3,191.2,State PWD,Inter-State,9.9,6,gravel,2001,2011,under_construction,LINESTRING(...),,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,382.3,2143,29.2,132,0.5,"{""M1"":0.84,""M2"":1.12,""M3"":0.99,""M4"":1.05,""M5"":0.95,""M6"":0.81,""M7"":1.13,""M8"":1.17,""M9"":0.82,""M10"":1.1,""M11"":1.05,""M12"":1.12}"
MA-SH60-SEG-0178,SH60 Segment 178,SH60,121.6,138.1,NHAI,State,16.5,4,earthen,2002,2018,active,LINESTRING(...),,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,293.1,21320,31.2,1965,2,"{""M1"":1.03,""M2"":1.13,""M3"":1.04,""M4"":0.88,""M5"":0.97,""M6"":0.98,""M7"":1.07,""M8"":1.06,""M9"":1.14,""M10"":1.08,""M11"":1.07,""M12"":1.18}"
