road_id,last_lidar_survey_date,lidar_source,point_density_pts_per_m2,lidar_quality_score,pothole_count,pothole_total_volume_m3,avg_pothole_depth_mm,max_pothole_depth_mm,pothole_areas_m2,avg_rut_depth_mm,max_rut_depth_mm,roughness_proxy,damaged_area_percent,scan_id,las_filename,potree_url
MA-SH50-SEG-0112,2025-05-25,phone,19.7,40,16,1.2887,121,245,"[1.03, 0.143, 0.221, 0.807, 1.112, 1.018, 0.619, 0.251, 0.491, 0.567, 0.92, 0.6, 0.132, 0.632, 1.111, 0.897]",3,5.2,1.33,0.0048,ad779c80-a7a7-46af-b055-cd00ffbedbb5,ad779c80-a7a7-46af-b055-cd00ffbedbb5.laz,https://potree.example.com/viewer/ad779c80-a7a7-46af-b055-cd00ffbedbb5
MA-NH160-SEG-0113,2025-10-27,drone,318.7,78,45,3.561,142.3,243,"[0.219, 0.652, 0.788, 0.404, 0.347, 0.223, 0.3, 0.682, 0.726, 0.964, 0.719, 0.657, 0.506, 0.128, 1.079, 0.904, 0.943, 0.753, 0.875, 0.149, 1.112, 0.513, 1.09, 1.144, 0.278, 0.748, 0.537, 0.796, 0.678, 0.9, 0.136, 0.067, 0.916, 0.083, 0.53, 0.253, 0.14, 0.466, 0.153, 0.459, 0.975, 0.206, 0.191, 0.482, 1.184]",6,8.2,2.55,0.0122,d131ca19-69b8-4629-a511-ad34859b236c,d131ca19-69b8-4629-a511-ad34859b236c.laz,https://potree.example.com/viewer/d131ca19-69b8-4629-a511-ad34859b236c
MA-NH65-SEG-0114,2025-12-15,mobile,173,43,4,0.3815,126,231,"[1.053, 0.153, 0.534, 0.599]",3.9,6.1,1.28,0.0033,e9c363cc-4899-4534-affb-65bbcd018029,e9c363cc-4899-4534-affb-65bbcd018029.laz,https://potree.example.com/viewer/e9c363cc-4899-4534-affb-65bbcd018029
MA-NH160-SEG-0115,2025-11-14,mobile,259,60,50,3.9024,121.3,235,"[0.36, 0.503, 0.496, 0.272, 1.147, 0.694, 1.033, 1.076, 0.164, 0.387, 0.895, 1.1, 0.385, 0.719, 0.832, 1.018, 0.186, 0.894, 0.085, 0.228, 0.813, 0.34, 0.996, 0.432, 0.373, 0.323, 0.351, 0.685, 0.963, 0.371, 0.744, 0.359, 0.97, 0.94, 1.017, 0.546, 0.158, 1.021, 0.126, 0.846, 0.096, 0.697, 1.141, 0.796, 0.932, 0.645, 1.13, 0.598, 0.723, 0.577]",5.4,7.6,2.07,0.0328,675049f0-2620-4119-80d9-c7735c283297,675049f0-2620-4119-80d9-c7735c283297.laz,https://potree.example.com/viewer/675049f0-2620-4119-80d9-c7735c283297
MA-NH65-SEG-0116,2025-08-29,mobile,144.2,40,3,0.0834,80,174,"[0.663, 0.239, 0.574]",2.1,3.6,0.71,0.0008,7ebbda1d-074b-48dc-b01a-043c53017457,7ebbda1d-074b-48dc-b01a-043c53017457.laz,https://potree.example.com/viewer/7ebbda1d-074b-48dc-b01a-043c53017457
MA-NH65-SEG-0117,2026-01-23,drone,179.3,43,35,2.9719,134.8,243,"[0.726, 0.647, 0.278, 0.47, 0.452, 1.121, 1.007, 0.788, 0.988, 0.845, 0.193, 0.095, 1.071, 1.115, 0.241, 0.887, 0.639, 0.163, 0.77, 0.87, 0.254, 0.304, 1.167, 0.498, 1.053, 0.595, 0.317, 1.143, 1.089, 0.3, 1.176, 0.9, 0.427, 0.067, 0.549]",14.2,21.1,3.05,0.023,d26bda08-618a-4ba2-bd15-2dfb60d790b2,d26bda08-618a-4ba2-bd15-2dfb60d790b2.laz,https://potree.example.com/viewer/d26bda08-618a-4ba2-bd15-2dfb60d790b2
MA-SH60-SEG-0118,2025-06-17,phone,15.9,40,6,0.241,119,222,"[0.984, 0.147, 0.27, 0.565, 0.537, 0.151]",1,1.4,1.53,0.0038,a2d4d683-806c-4f87-b7a8-c3ccac1dd791,a2d4d683-806c-4f87-b7a8-c3ccac1dd791.laz,https://potree.example.com/viewer/a2d4d683-806c-4f87-b7a8-c3ccac1dd791
MA-NH48-SEG-0119,2025-03-23,drone,647.2,100,9,0.6224,133.7,249,"[0.672, 0.33, 1.139, 0.666, 0.601, 0.084, 0.719, 0.299, 0.853]",6.9,7.9,1.87,0.0073,5e6f97f6-0e0e-4c3a-bf09-2097a6d6fd78,5e6f97f6-0e0e-4c3a-bf09-2097a6d6fd78.laz,https://potree.example.com/viewer/5e6f97f6-0e0e-4c3a-bf09-2097a6d6fd78
MA-NH160-SEG-0120,2025-04-27,drone,691.7,93,9,0.7023,150.6,238,"[1.037, 0.113, 0.285, 0.42, 0.353, 1.14, 0.488, 0.686, 0.388]",7.5,10.9,2.01,0.0085,a3faa117-1eaa-4c01-aed8-83e98d413a25,a3faa117-1eaa-4c01-aed8-83e98d413a25.laz,https://potree.example.com/viewer/a3faa117-1eaa-4c01-aed8-83e98d413a25
MA-NH160-SEG-0121,2026-01-31,mobile,159.8,44,3,0.2195,118.3,202,"[0.451, 0.75, 0.609]",1.8,3,2.19,0.0023,8b5e83bf-395f-4200-a5e1-f35a598d747b,8b5e83bf-395f-4200-a5e1-f35a598d747b.laz,https://potree.example.com/viewer/8b5e83bf-395f-4200-a5e1-f35a598d747b
MA-NH60-SEG-0122,2025-09-17,mobile,185.1,47,22,1.7142,114.7,248,"[0.277, 0.373, 0.921, 0.362, 0.318, 0.129, 1.142, 0.72, 0.724, 0.501, 0.397, 0.931, 0.551, 1.159, 0.608, 0.458, 0.495, 0.551, 0.9, 1.044, 0.332, 1.199]",3.7,4.1,1.49,0.006,ed2a5952-80b9-4d4a-98c8-a9c34491510b,ed2a5952-80b9-4d4a-98c8-a9c34491510b.laz,https://potree.example.com/viewer/ed2a5952-80b9-4d4a-98c8-a9c34491510b
MA-NH60-SEG-0123,2025-09-22,mobile,135.1,43,21,1.8033,134.4,238,"[0.5, 0.908, 0.782, 0.142, 0.823, 1.079, 0.545, 0.586, 0.749, 0.377, 1.092, 1.138, 0.733, 1.14, 0.06, 0.083, 1.198, 0.111, 0.949, 0.826, 0.142]",7.5,9.7,2.89,0.0208,da13b068-b6f6-4f90-a10d-7432da7d9866,da13b068-b6f6-4f90-a10d-7432da7d9866.laz,https://potree.example.com/viewer/da13b068-b6f6-4f90-a10d-7432da7d9866
MA-SH50-SEG-0124,2025-03-14,mobile,223,56,39,3.1144,121.6,231,"[0.977, 0.628, 0.76, 0.41, 0.553, 0.981, 0.293, 1.199, 0.256, 0.1, 1.12, 0.283, 0.229, 0.131, 0.887, 1.133, 1.183, 0.855, 0.36, 0.109, 0.077, 1.058, 0.765, 0.853, 0.744, 0.767, 1.19, 0.821, 0.892, 0.411, 0.093, 1.035, 0.876, 0.759, 1.165, 1.025, 0.168, 0.309, 0.649]",11.1,15.8,3.3,0.0261,71b3b294-8162-48ea-94bd-612bc8c4bdeb,71b3b294-8162-48ea-94bd-612bc8c4bdeb.laz,https://potree.example.com/viewer/71b3b294-8162-48ea-94bd-612bc8c4bdeb
MA-SH60-SEG-0125,2025-05-01,drone,511.7,93,41,3.372,132.6,226,"[0.758, 0.258, 0.105, 0.61, 1.004, 1.165, 0.328, 0.087, 0.064, 0.883, 0.358, 0.783, 0.084, 1.119, 0.607, 0.433, 0.464, 0.945, 0.906, 0.393, 0.544, 0.129, 1.156, 1.061, 0.606, 1.137, 0.525, 0.715, 0.365, 0.31, 0.29, 0.555, 0.636, 0.987, 0.321, 1.168, 0.87, 0.945, 0.614, 0.834, 0.433]",15.7,17.1,3.71,0.0197,b4c2ad14-d89f-4fe0-a735-60ee5d4db93f,b4c2ad14-d89f-4fe0-a735-60ee5d4db93f.laz,https://potree.example.com/viewer/b4c2ad14-d89f-4fe0-a735-60ee5d4db93f
MA-NH65-SEG-0126,2026-01-03,drone,354.4,93,47,3.4037,136.5,248,"[1.16, 0.509, 0.475, 0.413, 0.633, 1.098, 0.817, 0.419, 0.551, 0.304, 0.541, 0.222, 0.287, 0.769, 0.568, 1.176, 0.963, 0.324, 0.334, 0.059, 0.283, 0.635, 0.255, 0.946, 0.75, 0.439, 0.771, 0.202, 0.228, 0.205, 0.412, 0.853, 1.162, 0.114, 0.541, 0.073, 0.213, 0.516, 0.301, 0.174, 0.598, 1.056, 0.588, 0.249, 0.052, 0.067, 0.808]",4.2,5.7,1.84,0.0187,0c4e1710-dc0b-4ede-bddb-57f09cb94e08,0c4e1710-dc0b-4ede-bddb-57f09cb94e08.laz,https://potree.example.com/viewer/0c4e1710-dc0b-4ede-bddb-57f09cb94e08
MA-NH48-SEG-0127,2025-07-02,drone,338.3,81,32,3.1446,144.6,249,"[1.19, 1.166, 1.039, 0.314, 0.671, 0.949, 0.881, 0.975, 1.083, 0.327, 0.669, 0.432, 0.573, 0.22, 0.11, 0.698, 0.135, 0.291, 0.909, 0.34, 0.295, 0.091, 0.697, 0.891, 0.053, 1.008, 1.182, 0.724, 0.396, 0.881, 0.456, 0.268]",8.4,13.8,2.94,0.0199,0c5761fa-55a0-4850-b3a8-cb842b535ef0,0c5761fa-55a0-4850-b3a8-cb842b535ef0.laz,https://potree.example.com/viewer/0c5761fa-55a0-4850-b3a8-cb842b535ef0
MA-SH60-SEG-0128,2025-10-11,mobile,255.7,65,5,0.4171,125.6,249,"[0.085, 1.2, 0.239, 0.823, 0.506]",1.5,1.7,1.89,0.0024,acb8a200-b7d8-4e4b-ae01-07861a6e0070,acb8a200-b7d8-4e4b-ae01-07861a6e0070.laz,https://potree.example.com/viewer/acb8a200-b7d8-4e4b-ae01-07861a6e0070
MA-NH48-SEG-0129,2025-09-16,mobile,207.9,52,28,2.9245,139.5,241,"[0.929, 0.812, 0.752, 0.424, 1.045, 0.449, 0.681, 0.955, 0.731, 0.629, 0.467, 1.065, 0.948, 0.721, 0.512, 0.454, 0.977, 0.172, 0.399, 0.516, 0.062, 0.882, 1.071, 0.908, 0.992, 0.663, 0.959, 0.581]",8.6,10.6,2.02,0.01,b7b3bca3-6caf-4f1e-9e88-3844576841a8,b7b3bca3-6caf-4f1e-9e88-3844576841a8.laz,https://potree.example.com/viewer/b7b3bca3-6caf-4f1e-9e88-3844576841a8
MA-NH60-SEG-0130,2026-01-21,mobile,146.5,40,31,2.2174,133.5,243,"[0.65, 0.679, 0.269, 0.933, 0.252, 1.142, 0.265, 0.226, 0.216, 0.317, 0.438, 0.373, 0.603, 0.883, 0.529, 1.145, 0.17, 0.539, 0.051, 0.179, 0.681, 0.866, 0.542, 0.283, 1.152, 0.773, 1.119, 0.338, 0.423, 0.382, 0.555]",11.3,12.4,2.8,0.0092,6455793e-508c-431f-af3a-383079d66129,6455793e-508c-431f-af3a-383079d66129.laz,https://potree.example.com/viewer/6455793e-508c-431f-af3a-383079d66129
MA-NH60-SEG-0131,2025-07-29,mobile,130.4,40,44,3.9251,124.1,246,"[1.151, 0.83, 0.198, 1.073, 1.143, 1.038, 0.529, 1.08, 0.835, 1.174, 0.608, 1.172, 0.911, 0.087, 1.187, 0.432, 0.253, 0.805, 0.37, 0.378, 0.312, 0.461, 0.185, 1.158, 0.181, 0.491, 0.237, 0.438, 0.918, 1.101, 0.249, 1.018, 0.488, 0.843, 0.585, 0.466, 0.546, 0.368, 0.88, 0.617, 0.948, 1.186, 0.587, 0.781]",17.2,22.1,3.14,0.0275,ffa03a39-f475-40aa-8a1c-e93482751677,ffa03a39-f475-40aa-8a1c-e93482751677.laz,https://potree.example.com/viewer/ffa03a39-f475-40aa-8a1c-e93482751677
MA-SH50-SEG-0132,2026-01-11,mobile,106.6,40,78,7.202,138.6,250,"[1.064, 0.551, 1.178, 0.304, 1.09, 0.368, 0.51, 0.722, 0.81, 0.764, 0.732, 0.325, 1.029, 1.018, 0.529, 0.731, 0.692, 1.165, 0.407, 0.469, 0.5, 0.707, 1.019, 0.515, 0.857, 0.927, 1.197, 0.128, 0.751, 1.195, 0.24, 0.148, 0.17, 0.532, 0.824, 1.023, 0.861, 0.933, 0.811, 0.219, 0.947, 0.341, 0.48, 0.583, 0.14, 0.273, 0.931, 0.519, 0.396, 0.134, 0.822, 0.386, 0.712, 1.116, 1.196, 0.077, 0.882, 0.731, 0.816, 0.597, 0.52, 0.84, 0.4, 0.611, 1.095, 0.188, 0.766, 1.002, 0.819, 1.197, 0.607, 0.089, 0.204, 1.171, 0.842, 0.495, 1.002, 0.671]",8.2,10.9,2.6,0.0248,7d6c5bf9-76e4-48ac-bdc0-953edfa42aac,7d6c5bf9-76e4-48ac-bdc0-953edfa42aac.laz,https://potree.example.com/viewer/7d6c5bf9-76e4-48ac-bdc0-953edfa42aac
MA-NH65-SEG-0133,2025-05-16,mobile,167.6,46,72,6.1038,135.6,247,"[0.804, 0.386, 0.112, 1.132, 0.837, 0.545, 0.876, 0.197, 0.797, 0.986, 0.686, 0.902, 0.07, 0.641, 0.127, 0.77, 0.757, 1.075, 1.059, 1.197, 0.813, 1.129, 0.509, 0.089, 0.783, 0.879, 0.816, 1.116, 1.121, 0.491, 0.475, 0.271, 0.298, 0.762, 0.707, 0.129, 0.643, 0.08, 0.984, 0.508, 0.389, 0.522, 1.111, 0.542, 1.035, 0.762, 0.8, 0.271, 1.158, 0.296, 0.922, 0.147, 0.89, 0.192, 0.899, 0.343, 1.194, 1.108, 0.501, 0.296, 0.43, 0.345, 0.462, 0.873, 0.809, 1.137, 0.758, 0.31, 0.77, 0.645, 0.255, 1.103]",9,11.4,3.38,0.0218,26c149fd-f799-48d2-ab9a-5324bc88ee01,26c149fd-f799-48d2-ab9a-5324bc88ee01.laz,https://potree.example.com/viewer/26c149fd-f799-48d2-ab9a-5324bc88ee01
MA-SH60-SEG-0134,2025-11-19,mobile,268.2,77,22,2.2867,142.2,248,"[0.849, 0.567, 0.869, 0.955, 0.987, 0.814, 1.074, 0.075, 1.063, 0.867, 0.13, 0.928, 0.314, 0.469, 0.44, 0.629, 1.002, 1.109, 0.468, 0.382, 1.156, 0.833]",9.5,15,2.49,0.0118,06c7809b-44a6-4338-bf07-5faade902af0,06c7809b-44a6-4338-bf07-5faade902af0.laz,https://potree.example.com/viewer/06c7809b-44a6-4338-bf07-5faade902af0
MA-NH48-SEG-0135,2025-07-23,drone,346.4,92,67,6.1325,144.9,250,"[1.085, 0.289, 1.09, 0.068, 0.949, 0.641, 0.455, 0.766, 0.535, 0.423, 0.55, 1.065, 0.753, 0.806, 0.649, 0.819, 0.706, 0.444, 0.308, 0.6, 0.583, 0.389, 1.175, 0.192, 0.92, 0.607, 1.065, 0.237, 1.046, 0.088, 0.149, 1.025, 0.533, 0.779, 0.653, 0.788, 0.653, 0.194, 0.511, 0.722, 1.161, 0.211, 1.131, 0.596, 0.1, 0.195, 0.684, 0.89, 0.589, 0.853, 0.429, 1.016, 0.214, 0.185, 0.821, 0.987, 0.905, 0.421, 0.727, 0.301, 0.995, 1.178, 0.732, 1.093, 1.087, 0.81, 0.64]",14.8,26.4,2.78,0.0239,5d7676ed-bd43-489b-8c47-9fbb36773bc9,5d7676ed-bd43-489b-8c47-9fbb36773bc9.laz,https://potree.example.com/viewer/5d7676ed-bd43-489b-8c47-9fbb36773bc9
MA-NH60-SEG-0136,2025-10-03,phone,37.2,40,24,2.2346,139.3,250,"[0.628, 1.028, 0.768, 0.338, 0.764, 0.952, 1.056, 0.387, 0.398, 0.59, 0.732, 0.104, 0.871, 0.223, 0.364, 0.291, 0.977, 0.457, 1.113, 1.125, 1.027, 0.249, 1.123, 0.392]",3,4.6,2.27,0.0073,80825e87-5746-4cbf-80e0-e972ce6faf30,80825e87-5746-4cbf-80e0-e972ce6faf30.laz,https://potree.example.com/viewer/80825e87-5746-4cbf-80e0-e972ce6faf30
MA-NH60-SEG-0137,2025-06-03,drone,180,47,12,0.9964,158.2,241,"[0.163, 0.676, 0.927, 0.608, 0.233, 0.576, 0.144, 0.158, 1.096, 0.839, 1.06, 0.564]",16.7,27.4,3.43,0.0095,6b9fb281-bdaa-41d6-aec1-e1aa41fb65de,6b9fb281-bdaa-41d6-aec1-e1aa41fb65de.laz,https://potree.example.com/viewer/6b9fb281-bdaa-41d6-aec1-e1aa41fb65de
MA-SH60-SEG-0138,2025-10-16,mobile,119.1,40,9,0.8219,136.4,237,"[1.016, 1.004, 0.612, 0.363, 1.165, 0.772, 0.541, 1.183, 0.785]",4.5,6.9,1.94,0.0113,04b835e7-2dca-4b07-a30e-0cb8e5f0fa5c,04b835e7-2dca-4b07-a30e-0cb8e5f0fa5c.laz,https://potree.example.com/viewer/04b835e7-2dca-4b07-a30e-0cb8e5f0fa5c
MA-NH48-SEG-0139,2025-05-20,mobile,162.5,40,7,0.4105,129.9,214,"[0.575, 0.521, 0.213, 0.454, 0.071, 0.623, 0.52]",1.3,2.2,1.17,0.0017,b7f6d311-7f02-4416-8413-05cefc80ad7c,b7f6d311-7f02-4416-8413-05cefc80ad7c.laz,https://potree.example.com/viewer/b7f6d311-7f02-4416-8413-05cefc80ad7c
MA-NH60-SEG-0140,2025-09-14,drone,380.6,93,37,2.8381,120.2,250,"[0.444, 0.425, 0.622, 0.514, 1.095, 1.015, 0.098, 0.152, 1.013, 0.647, 0.566, 0.99, 0.56, 0.442, 0.46, 0.361, 0.463, 0.896, 1.177, 1.035, 0.953, 1.196, 0.755, 0.279, 0.229, 0.942, 0.437, 0.426, 0.181, 0.491, 0.052, 1.193, 0.297, 1.073, 0.83, 0.14, 1.01]",17.8,23.4,3.29,0.0094,bd5c56de-33c3-4cfc-8a33-78e61eaaa3ed,bd5c56de-33c3-4cfc-8a33-78e61eaaa3ed.laz,https://potree.example.com/viewer/bd5c56de-33c3-4cfc-8a33-78e61eaaa3ed
MA-NH60-SEG-0141,2025-07-22,mobile,197.9,44,155,14.9893,143.5,249,"[0.247, 0.052, 1.017, 1.095, 0.704, 0.561, 0.877, 0.17, 0.448, 0.191, 0.968, 0.986, 0.914, 0.201, 0.805, 0.875, 0.882, 1.004, 1.149, 0.372, 1.049, 0.351, 0.547, 0.668, 0.472, 0.098, 0.259, 0.237, 0.645, 1.135, 0.276, 0.721, 0.835, 1.078, 0.895, 0.202, 0.864, 0.762, 0.71, 0.531, 0.21, 0.566, 0.518, 0.863, 0.449, 0.511, 0.179, 0.906, 0.223, 1.049, 1.073, 0.374, 0.791, 0.153, 0.988, 1.146, 0.318, 0.545, 1.04, 0.98, 1.113, 0.653, 0.175, 0.901, 0.808, 0.63, 0.571, 0.385, 0.545, 1.172, 1.084, 0.073, 1.167, 0.507, 1.095, 0.217, 0.628, 1.088, 0.644, 0.858, 0.432, 0.536, 1.035, 0.876, 0.644, 0.741, 0.535, 0.443, 1.111, 1.077, 1.099, 0.832, 0.456, 0.531, 0.951, 1.027, 0.136, 0.361, 0.614, 1.091, 0.159, 0.159, 0.942, 0.861, 0.996, 0.517, 0.939, 1.106, 0.638, 0.782, 1.118, 0.697, 0.512, 0.088, 1.151, 1.015, 0.233, 0.602, 1.011, 0.797, 0.87, 0.728, 0.865, 0.944, 1.193, 0.789, 0.234, 0.456, 0.373, 0.136, 0.801, 0.412, 1.191, 1.068, 0.652, 0.208, 0.629, 0.722, 0.761, 1.132, 0.173, 0.234, 0.446, 1.087, 0.252, 0.138, 0.643, 1.102, 1.108, 1.066, 0.099, 0.883, 0.306, 1.094, 0.892]",8.9,14.8,3.38,0.0426,f8db197f-80a1-4c2d-8d66-53ac2c531c10,f8db197f-80a1-4c2d-8d66-53ac2c531c10.laz,https://potree.example.com/viewer/f8db197f-80a1-4c2d-8d66-53ac2c531c10
MA-NH65-SEG-0142,2025-06-06,mobile,81.4,40,6,0.3092,119.3,238,"[0.512, 0.051, 0.968, 0.667, 0.97, 0.367]",5.5,7.5,2.71,0.0028,9a17fbb7-9c81-4640-a652-ca3d11819e17,9a17fbb7-9c81-4640-a652-ca3d11819e17.laz,https://potree.example.com/viewer/9a17fbb7-9c81-4640-a652-ca3d11819e17
MA-NH160-SEG-0143,2025-07-04,phone,33.8,40,24,1.9103,139.1,249,"[0.65, 1.074, 0.534, 0.984, 0.662, 1.138, 1.158, 0.079, 0.109, 0.634, 0.794, 0.254, 1.147, 0.241, 0.487, 0.235, 0.475, 0.543, 0.401, 0.269, 0.945, 0.785, 0.821, 0.318]",3.8,4,2.37,0.0062,b21496f4-42a0-45d6-9012-ac248c1f4b6c,b21496f4-42a0-45d6-9012-ac248c1f4b6c.laz,https://potree.example.com/viewer/b21496f4-42a0-45d6-9012-ac248c1f4b6c
MA-SH60-SEG-0144,2025-11-09,mobile,245.5,59,3,0.4084,143,173,"[1.029, 0.387, 1.176]",2,2.4,2.47,0.0012,9a7bfb55-ab17-4cd5-a67e-f181c4c53fbc,9a7bfb55-ab17-4cd5-a67e-f181c4c53fbc.laz,https://potree.example.com/viewer/9a7bfb55-ab17-4cd5-a67e-f181c4c53fbc
MA-NH65-SEG-0145,2025-09-05,phone,8.3,40,13,1.1179,111.6,214,"[1.126, 0.68, 0.935, 0.899, 0.87, 0.385, 0.115, 0.973, 0.988, 0.709, 0.402, 0.531, 1.019]",2.7,3.5,1.43,0.0056,d63f5fbd-51c0-4ca3-896d-b605a17a6ec2,d63f5fbd-51c0-4ca3-896d-b605a17a6ec2.laz,https://potree.example.com/viewer/d63f5fbd-51c0-4ca3-896d-b605a17a6ec2
MA-NH48-SEG-0146,2025-09-10,phone,12.2,40,3,0.2005,139,215,"[0.343, 0.799, 0.061]",2.4,3,2.04,0.0023,fe374a4d-6941-420a-a0cf-aaf24d0d5299,fe374a4d-6941-420a-a0cf-aaf24d0d5299.laz,https://potree.example.com/viewer/fe374a4d-6941-420a-a0cf-aaf24d0d5299
MA-NH160-SEG-0147,2025-12-07,mobile,177.5,40,30,2.4109,139.5,245,"[0.072, 0.081, 0.152, 0.262, 0.174, 0.25, 1.143, 0.44, 0.515, 0.583, 0.371, 0.113, 0.675, 1.131, 0.78, 0.773, 0.323, 0.674, 0.114, 0.456, 0.629, 0.648, 0.703, 0.175, 0.822, 0.252, 0.897, 1.11, 1.084, 0.86]",4.8,6.6,2.05,0.0084,90d05444-8b7d-4e98-afe5-0e867d8d2e81,90d05444-8b7d-4e98-afe5-0e867d8d2e81.laz,https://potree.example.com/viewer/90d05444-8b7d-4e98-afe5-0e867d8d2e81
MA-NH48-SEG-0148,2025-06-25,mobile,232.8,57,73,6.7664,146,243,"[0.347, 0.85, 0.05, 0.542, 0.959, 0.072, 0.822, 0.294, 0.801, 0.742, 0.928, 1.139, 0.877, 0.566, 0.998, 0.538, 0.076, 1.124, 1.172, 0.608, 0.886, 0.06, 0.236, 1.043, 0.15, 0.67, 1.046, 0.153, 0.256, 0.833, 0.643, 1.155, 0.893, 0.475, 1.091, 0.118, 0.225, 1.091, 0.176, 0.415, 1.111, 0.473, 1.05, 0.267, 0.288, 0.866, 0.848, 0.498, 0.066, 0.54, 1.138, 1.127, 0.985, 0.978, 0.085, 0.162, 0.594, 0.458, 0.089, 0.913, 1.174, 0.191, 0.347, 0.084, 1.195, 1.05, 0.086, 1.04, 0.107, 0.602, 0.129, 0.766, 0.872]",7.1,11.1,3.14,0.0193,3b25bf2d-d2d1-43bf-a442-cc6626ab2d69,3b25bf2d-d2d1-43bf-a442-cc6626ab2d69.laz,https://potree.example.com/viewer/3b25bf2d-d2d1-43bf-a442-cc6626ab2d69
MA-NH160-SEG-0149,2025-03-07,phone,39.1,40,10,0.9127,143.9,239,"[0.174, 0.918, 1.163, 0.618, 0.71, 0.86, 1.088, 0.752, 0.175, 0.561]",5.6,6.9,3.04,0.0045,4a39dc8b-b902-4c4c-9e76-1c16c7b0dc72,4a39dc8b-b902-4c4c-9e76-1c16c7b0dc72.laz,https://potree.example.com/viewer/4a39dc8b-b902-4c4c-9e76-1c16c7b0dc72
MA-NH160-SEG-0150,2025-08-16,drone,503.3,100,68,4.8728,125.2,246,"[0.303, 0.388, 1.053, 0.295, 0.703, 0.14, 0.432, 0.681, 0.34, 0.917, 0.345, 0.789, 0.679, 0.883, 0.906, 0.193, 0.955, 1.175, 1.188, 0.454, 0.201, 1.094, 0.495, 0.556, 0.793, 0.978, 1.09, 0.908, 0.362, 0.506, 0.863, 0.818, 0.247, 0.487, 0.347, 0.11, 0.199, 0.212, 0.444, 0.768, 0.523, 0.629, 0.48, 1.014, 0.873, 1.16, 0.694, 0.495, 0.244, 0.475, 1.002, 0.76, 0.133, 1.135, 0.463, 1.131, 0.739, 0.726, 0.18, 0.312, 0.419, 0.582, 0.563, 0.307, 0.448, 0.471, 0.524, 0.834]",16.9,24.9,3.09,0.0194,b3b5674f-eaca-47ee-9308-bb127f3a2525,b3b5674f-eaca-47ee-9308-bb127f3a2525.laz,https://potree.example.com/viewer/b3b5674f-eaca-47ee-9308-bb127f3a2525
MA-NH160-SEG-0151,2025-06-10,mobile,202.9,54,24,2.1399,120.4,250,"[0.056, 0.126, 0.837, 0.749, 0.899, 0.776, 0.955, 0.43, 0.901, 0.613, 0.466, 0.861, 0.252, 1.043, 0.67, 1.084, 1.162, 0.402, 0.812, 0.832, 0.8, 0.45, 0.822, 1.185]",5.4,9.5,3.52,0.0242,03dad07a-593e-4927-b460-a5184578b76d,03dad07a-593e-4927-b460-a5184578b76d.laz,https://potree.example.com/viewer/03dad07a-593e-4927-b460-a5184578b76d
MA-NH60-SEG-0152,2025-09-04,mobile,294.7,71,144,11.4929,139.3,248,"[0.142, 0.738, 0.354, 0.426, 0.531, 0.532, 0.967, 0.157, 0.115, 0.824, 1.186, 0.921, 0.111, 0.157, 0.898, 0.632, 1.136, 0.304, 1.105, 0.919, 0.891, 0.489, 0.747, 0.334, 1.072, 0.197, 0.954, 0.294, 1.008, 0.719, 0.528, 0.422, 1.172, 0.109, 0.875, 0.113, 0.114, 1.146, 0.078, 0.792, 0.528, 0.825, 0.67, 1.01, 0.982, 0.173, 0.498, 0.176, 0.07, 0.771, 0.382, 0.401, 0.078, 0.572, 0.467, 0.156, 0.906, 0.946, 0.472, 0.298, 1.088, 0.29, 0.569, 0.567, 1.035, 0.218, 0.419, 0.982, 0.513, 0.082, 0.76, 0.821, 0.385, 0.379, 0.323, 0.639, 0.374, 0.967, 0.098, 0.666, 0.624, 1.191, 0.429, 0.559, 0.089, 0.371, 0.588, 0.619, 1.131, 0.535, 0.781, 0.241, 0.74, 0.428, 0.197, 0.506, 0.195, 0.558, 0.067, 0.372, 1.192, 0.122, 0.356, 1.133, 0.195, 0.583, 0.758, 0.064, 0.952, 0.252, 1.109, 0.243, 0.213, 0.093, 0.736, 0.618, 0.947, 0.419, 0.749, 0.116, 0.738, 1.009, 0.305, 0.203, 0.999, 0.752, 0.541, 0.925, 0.86, 0.151, 0.992, 0.904, 0.227, 0.122, 0.548, 0.122, 0.386, 0.678, 1.187, 1.152, 0.35, 1.044, 0.072, 0.319]",11.1,18.3,4.15,0.0338,0c20b298-e2f5-4b4e-84df-e21b78ef4dd6,0c20b298-e2f5-4b4e-84df-e21b78ef4dd6.laz,https://potree.example.com/viewer/0c20b298-e2f5-4b4e-84df-e21b78ef4dd6
MA-NH160-SEG-0153,2025-09-07,mobile,273.8,64,2,0.0824,53,85,"[0.051, 0.957]",3.2,3.9,1.02,0.002,3583073d-2250-4c4f-9626-6cac46a366fc,3583073d-2250-4c4f-9626-6cac46a366fc.laz,https://potree.example.com/viewer/3583073d-2250-4c4f-9626-6cac46a366fc
MA-NH65-SEG-0154,2025-04-07,mobile,275.2,65,2,0.4293,179,240,"[1.199, 1.199]",3.8,4.6,2.39,0.0023,bea0a1ce-a093-42e0-b0a5-9d3ffa6daa29,bea0a1ce-a093-42e0-b0a5-9d3ffa6daa29.laz,https://potree.example.com/viewer/bea0a1ce-a093-42e0-b0a5-9d3ffa6daa29
